Feature	Log2FC(median)	Log2FC(mean)	ModeratedT(Stats)	ModeratedT(P-value)	FDR	-Log10(FDR)	Significance	Gene	group1_label	group2_label	n_group1_total	n_group2_total	n_group1_nonmissing	n_group2_nonmissing	group1_mean	group2_mean	group1_median	group2_median	AbsLog2FC(mean)	AbsLog2FC(median)
H3-4	5.415267592204657	4.811455652198042					U	H3-4	GG1	GG3	5	31	1	8	4.40376958304383	-0.40768606915421257	4.40376958304383	-1.011498009160827	4.811455652198042	5.415267592204657
ADGRG5	4.191446654743806	4.078921287722142					U	ADGRG5	GG1	GG3	5	31	1	3	0.954017268017576	-3.1249040197045663	0.954017268017576	-3.23742938672623	4.078921287722142	4.191446654743806
SFTPA2	3.4240099908594432	2.571216411821875					U	SFTPA2	GG1	GG3	5	31	3	16	2.385350655846578	-0.185865755975297	3.22487895913609	-0.199131031723353	2.571216411821875	3.4240099908594432
MKS1	3.35923968116186	3.2410845733405864					U	MKS1	GG1	GG3	5	31	1	3	2.60056114642331	-0.6405234269172766	2.60056114642331	-0.75867853473855	3.2410845733405864	3.35923968116186
DEFA3	3.16867291492572	1.5951996590202402					U	DEFA3	GG1	GG3	5	31	3	19	0.91694255019029	-0.6782571088299502	2.15777469745476	-1.01089821747096	1.5951996590202402	3.16867291492572
AK7	2.8106765376887903	3.1019076672191455					U	AK7	GG1	GG3	5	31	1	9	2.89246431309701	-0.20944335412213527	2.89246431309701	0.0817877754082197	3.1019076672191455	2.8106765376887903
PPP1R1C	2.545510385241483	2.207890394477932					U	PPP1R1C	GG1	GG3	5	31	2	19	1.7791232401313999	-0.4287671543465319	1.7791232401313999	-0.766387145110083	2.207890394477932	2.545510385241483
UPK3B	2.4903652276334505	2.107515774619134					U	UPK3B	GG1	GG3	5	31	1	9	2.55359548262219	0.4460797080030557	2.55359548262219	0.0632302549887394	2.107515774619134	2.4903652276334505
ACHE	2.471109656587251	2.4814549350075623					U	ACHE	GG1	GG3	5	31	1	12	1.83292393045725	-0.6485310045503124	1.83292393045725	-0.638185726130001	2.4814549350075623	2.471109656587251
TMEM39A	-2.449308550200941	-2.2360301822045248					D	TMEM39A	GG1	GG3	5	31	1	11	-2.77160998085942	-0.5355797986548955	-2.77160998085942	-0.322301430658479	2.2360301822045248	2.449308550200941
