Feature	Log2FC(median)	Log2FC(mean)	ModeratedT(Stats)	ModeratedT(P-value)	FDR	-Log10(FDR)	Significance	Gene	group1_label	group2_label	n_group1_total	n_group2_total	n_group1_nonmissing	n_group2_nonmissing	group1_mean	group2_mean	group1_median	group2_median	AbsLog2FC(mean)	AbsLog2FC(median)
PSCA	1.365348305711537	1.6072080137356273	1.904619703105048	0.06614481497659455	0.9587604446797906	0.018289891838696243	U	PSCA	GG1	GG2	5	24	5	24	-0.13807873017305794	-1.7452867439086852	-0.515166811526313	-1.88051511723785	1.6072080137356273	1.365348305711537
RHCE	1.349751183040927	1.3830362541504753					U	RHCE	GG1	GG2	5	24	2	11	1.11255555584246	-0.2704806983080152	1.11255555584246	-0.237195627198467	1.3830362541504753	1.349751183040927
SFR1	-1.346881399910077	-1.023691066517789					D	SFR1	GG1	GG2	5	24	1	5	-1.21561833706825	-0.191927270550461	-1.21561833706825	0.131263062841827	1.023691066517789	1.346881399910077
ZNF320	1.3447356517993472	1.3447356517993472					U	ZNF320	GG1	GG2	5	24	1	2	1.24127433691234	-0.10346131488700716	1.24127433691234	-0.10346131488700716	1.3447356517993472	1.3447356517993472
NUDT7	1.341489150125567	1.4040337618729308					U	NUDT7	GG1	GG2	5	24	1	4	1.46268094589306	0.05864718402012925	1.46268094589306	0.121191795767493	1.4040337618729308	1.341489150125567
TNNC1	-1.3266500718310799	-0.5517991029240026	-0.9793463119530651	0.33499045466334254	0.9587604446797906	0.018289891838696243	D	TNNC1	GG1	GG2	5	24	5	24	-1.9231307746237747	-1.371331671699772	-2.57373908162498	-1.2470890097939	0.5517991029240026	1.3266500718310799
CAMK2A	-1.322481764487957	-0.7865281596279889					D	CAMK2A	GG1	GG2	5	24	2	7	-1.771546706187793	-0.985018546559804	-1.771546706187793	-0.449064941699836	0.7865281596279889	1.322481764487957
ADIPOQ	1.301251480522874	1.0914437946357982					U	ADIPOQ	GG1	GG2	5	24	2	11	0.881361996037175	-0.21008179859862317	0.881361996037175	-0.419889484485699	1.0914437946357982	1.301251480522874
TMEM104	1.29758565448328	1.3347315290439332					U	TMEM104	GG1	GG2	5	24	1	11	1.06744699042535	-0.26728453861858315	1.06744699042535	-0.23013866405793	1.3347315290439332	1.29758565448328
GDF15	1.2965942786131204	0.9913401019218258	1.9809468463030473	0.05652847978767349	0.9587604446797906	0.018289891838696243	U	GDF15	GG1	GG2	5	24	5	24	0.9883677156106601	-0.0029723863111656887	0.950242332865374	-0.3463519457477465	0.9913401019218258	1.2965942786131204
MUC4	1.290490446406682	1.1192005685933055					U	MUC4	GG1	GG2	5	24	1	7	0.900812522901735	-0.2183880456915706	0.900812522901735	-0.389677923504947	1.1192005685933055	1.290490446406682
AHSP	1.2802944241579306	0.8664555457615498	2.1301343903997894	0.0412028738380406	0.9587604446797906	0.018289891838696243	U	AHSP	GG1	GG2	5	24	5	24	0.08850855443369121	-0.7779469913278586	0.370700043742601	-0.9095943804153295	0.8664555457615498	1.2802944241579306
CCDC171	1.2783730800412374	1.0793373974477631					U	CCDC171	GG1	GG2	5	24	1	4	1.06077178535347	-0.01856561209429325	1.06077178535347	-0.2176012946877675	1.0793373974477631	1.2783730800412374
KLK13	1.2558990418122566	0.9872787183822805					U	KLK13	GG1	GG2	5	24	2	7	1.202834302574351	0.21555558419207052	1.202834302574351	-0.0530647392379056	0.9872787183822805	1.2558990418122566
FSD1	1.2543593803359168	1.3072668340733915					U	FSD1	GG1	GG2	5	24	1	13	1.26679718397204	-0.04046965010135161	1.26679718397204	0.0124378036361232	1.3072668340733915	1.2543593803359168
MYH8	-1.2493622959931665	-0.9603537772768037					D	MYH8	GG1	GG2	5	24	2	8	0.8408903288771786	1.8012441061539823	0.8408903288771786	2.0902526248703452	0.9603537772768037	1.2493622959931665
JADE1	1.2419175803962894	0.9945339506654072					U	JADE1	GG1	GG2	5	24	3	11	1.000757190189802	0.0062232395243948324	1.18012606901866	-0.0617915113776295	0.9945339506654072	1.2419175803962894
JSRP1	-1.2371926438368188	-1.1404628682626892					D	JSRP1	GG1	GG2	5	24	2	11	-1.2412587874506165	-0.10079591918792724	-1.2412587874506165	-0.0040661436137976	1.1404628682626892	1.2371926438368188
FAM53B	1.2224810469437486	1.2196148385468515					U	FAM53B	GG1	GG2	5	24	2	3	0.5641100584464945	-0.655504780100357	0.5641100584464945	-0.658370988497254	1.2196148385468515	1.2224810469437486
TMEM65	1.2038678641675264	0.9355280080128693					U	TMEM65	GG1	GG2	5	24	1	8	0.919729867664007	-0.015798140348862247	0.919729867664007	-0.2841379965035195	0.9355280080128693	1.2038678641675264
KL	1.1909314079943893	0.9166291714276659					U	KL	GG1	GG2	5	24	2	10	0.7946166036191488	-0.12201256780851714	0.7946166036191488	-0.39631480437524047	0.9166291714276659	1.1909314079943893
MSANTD1	1.177459827752237	1.3266056642758963					U	MSANTD1	GG1	GG2	5	24	1	9	0.563134592972893	-0.7634710713030034	0.563134592972893	-0.614325234779344	1.3266056642758963	1.177459827752237
PLA2G2A	1.1773180161109331	0.8225732281807878	1.466553190904538	0.15256945360101185	0.9587604446797906	0.018289891838696243	U	PLA2G2A	GG1	GG2	5	24	5	24	0.45215051127527295	-0.3704227169055148	0.824745668776417	-0.35257234733451603	0.8225732281807878	1.1773180161109331
WIF1	1.177064885350326	0.9951545688294849	3.499415302519634	0.0016987332887985719	0.5703555551601186	0.24385432414628205	U	WIF1	GG1	GG2	5	24	4	20	0.481934109075472	-0.5132204597540129	0.6230057753034051	-0.554059110046921	0.9951545688294849	1.177064885350326
MTHFD2L	1.170003083403776	1.0683513006459118					U	MTHFD2L	GG1	GG2	5	24	1	6	1.0260127887688	-0.042338511877111816	1.0260127887688	-0.143990294634976	1.0683513006459118	1.170003083403776
LGI4	1.1682436351038121	1.2008998530540922					U	LGI4	GG1	GG2	5	24	1	7	0.999809882097875	-0.20108997095621714	0.999809882097875	-0.168433753005937	1.2008998530540922	1.1682436351038121
TSHZ3	-1.1622364407792616	-1.1977039499131297					D	TSHZ3	GG1	GG2	5	24	2	8	-0.7428301807904321	0.4548737691226975	-0.7428301807904321	0.4194062599888295	1.1977039499131297	1.1622364407792616
MTERF1	-1.1618631768294536	-1.1721463871140867					D	MTERF1	GG1	GG2	5	24	1	4	-0.611926838642464	0.5602195484716227	-0.611926838642464	0.5499363381869895	1.1721463871140867	1.1618631768294536
TTC22	-1.1578960592300205	-1.1895352119111686					D	TTC22	GG1	GG2	5	24	2	6	-0.930850218958809	0.25868499295235964	-0.930850218958809	0.2270458402712115	1.1895352119111686	1.1578960592300205
NPY	1.156936872314176	0.7598556677759325	2.1339072546684554	0.040868416436782726	0.9587604446797906	0.018289891838696243	U	NPY	GG1	GG2	5	24	5	24	-0.44213353006259304	-1.2019891978385255	-0.228195707434574	-1.38513257974875	0.7598556677759325	1.156936872314176
RIMS2	1.15670997339996	1.0991578069985584					U	RIMS2	GG1	GG2	5	24	2	15	0.877946395879903	-0.22121141111865544	0.877946395879903	-0.278763577520057	1.0991578069985584	1.15670997339996
TRIM46	1.152823282384116	1.1420383856991048					U	TRIM46	GG1	GG2	5	24	1	4	0.804415754283308	-0.3376226314157968	0.804415754283308	-0.348407528100808	1.1420383856991048	1.152823282384116
MGAM2	1.1371587375171741	0.7685290908264876					U	MGAM2	GG1	GG2	5	24	2	7	0.827947688118246	0.05941859729175843	0.827947688118246	-0.309211049398928	0.7685290908264876	1.1371587375171741
AKIRIN2	1.1200790201815396	1.133579921227359					U	AKIRIN2	GG1	GG2	5	24	1	6	0.88531344086504	-0.248266480362319	0.88531344086504	-0.2347655793164995	1.133579921227359	1.1200790201815396
HSPB3	-1.1069325738799913	-1.178504908498427					D	HSPB3	GG1	GG2	5	24	2	4	-0.12517088546127525	1.0533340230371517	-0.12517088546127525	0.981761688418716	1.178504908498427	1.1069325738799913
RDH16	1.1049008731335108	1.0473110203698626					U	RDH16	GG1	GG2	5	24	2	12	0.9151307639508928	-0.13218025641896988	0.9151307639508928	-0.189770109182618	1.0473110203698626	1.1049008731335108
