contrast	group1	group2	n_S_U	n_S_D	n_U	n_D	top_abs_log2fc	min_FDR
GG1_vs_GG3	GG1	GG3	0	0	315	60	5.415267592204657	0.5755508757523565
GG1_vs_GG2	GG1	GG2	0	0	248	85	4.737959776376964	0.38779817027564
